management,foundfam_owned,firmid,wave,degree_m,degree_m_sq,degree_nm,degree_nm_sq,export,emp_firm,lnemp,compet_cat,industry,countrycode,age_cat
3.0,0.0,1,2010,1.0,1.0,0.05,0.0025000000000000005,0.7,2000.0,7.600902459542082,weak,instrument,us,mid
3.1111112,0.0,7,2006,0.5,0.25,0.1,0.010000000000000002,0.0,2700.0,7.90100705199242,strong,instrument,us,mid
3.1176472,0.0,8,2006,0.2,0.04000000000000001,0.0,0.0,0.0,800.0,6.684611727667927,moder,lumber,us,young
3.5882354,0.0,11,2006,0.2,0.04000000000000001,0.2,0.04000000000000001,0.0,5000.0,8.517193191416238,strong,textile,us,old
3.1111112,0.0,12,2006,0.5,0.25,0.17,0.028900000000000006,0.0,350.0,5.857933154483459,moder,rubber,us,old
3.0,0.0,13,2010,0.98,0.9603999999999999,0.01,0.0001,0.1,3000.0,8.006367567650246,weak,chemical,us,mid
3.6666667,0.0,17,2014,0.6,0.36,0.03,0.0009,0.05,400.0,5.991464547107982,moder,glass,us,unknown
3.5555556,0.0,18,2006,1.0,1.0,0.6,0.36,0.0,9800.0,9.190137664658664,strong,electronic,us,mid
3.7777777,0.0,25,2014,0.75,0.5625,0.5,0.25,0.9,1050.0,6.956545443151569,moder,ind_machinery,us,unknown
3.5555556,0.0,26,2006,0.9,0.81,0.9,0.81,0.0,750.0,6.620073206530356,strong,electronic,us,mid
3.6666667,0.0,27,2006,1.0,1.0,0.31,0.0961,0.0,150.0,5.0106352940962555,moder,electronic,us,young
3.5555556,0.0,29,2014,0.7,0.48999999999999994,0.1,0.010000000000000002,0.4,3000.0,8.006367567650246,moder,chemical,us,unknown
4.111111,0.0,30,2006,1.0,1.0,0.05,0.0025000000000000005,0.0,250.0,5.521460917862246,strong,chemical,us,mid
3.4444444,0.0,31,2006,0.15,0.0225,0.0,0.0,0.0,8500.0,9.047821442478408,strong,printing,us,old
2.3888888,0.0,34,2014,1.0,1.0,0.3,0.09,0.35,500.0,6.214608098422191,weak,instrument,us,unknown
3.3888888,0.0,35,2006,0.5,0.25,0.15,0.0225,0.0,4200.0,8.34283980427146,moder,instrument,us,mid
3.1111112,0.0,36,2006,0.66,0.43560000000000004,0.05,0.0025000000000000005,0.0,250.0,5.521460917862246,strong,instrument,us,young
4.111111,0.0,38,2014,1.0,1.0,0.1,0.010000000000000002,0.15,7500.0,8.922658299524402,strong,misc_manuf,us,unknown
4.3333335,0.0,39,2006,0.85,0.7224999999999999,0.1,0.010000000000000002,0.0,8701.0,9.071193240566025,strong,ind_machinery,us,old
3.9444444,0.0,40,2010,0.91,0.8281000000000001,0.4,0.16000000000000003,0.3,2000.0,7.600902459542082,moder,ind_machinery,us,mid
3.0555556,0.0,41,2010,1.0,1.0,0.85,0.7224999999999999,0.4,750.0,6.620073206530356,strong,electronic,us,young
3.3333333,0.0,44,2014,0.13,0.016900000000000002,0.02,0.0004,0.05,2500.0,7.824046010856292,strong,fabricated_metal,us,unknown
3.8888888,0.0,48,2014,1.0,1.0,0.12,0.0144,0.66,2000.0,7.600902459542082,weak,chemical,us,unknown
2.6666667,0.0,50,2006,0.5,0.25,0.1,0.010000000000000002,0.0,1000.0,6.907755278982137,moder,transport,us,mid
4.1666665,0.0,52,2006,0.95,0.9025,0.1,0.010000000000000002,0.0,300.0,5.703782474656201,strong,electronic,us,young
3.4444444,0.0,53,2006,0.99,0.9801,0.0,0.0,0.0,350.0,5.857933154483459,moder,instrument,us,young
2.8888888,0.0,57,2006,1.0,1.0,0.1,0.010000000000000002,0.0,4000.0,8.294049640102028,strong,chemical,us,old
2.6666667,1.0,61,2006,0.25,0.0625,0.01,0.0001,0.0,6300.0,8.748304912379623,weak,food,us,old
4.0,0.0,63,2010,0.95,0.9025,0.1,0.010000000000000002,0.05,3000.0,8.006367567650246,weak,ind_machinery,us,old
3.0555556,0.0,66,2010,1.0,1.0,0.2,0.04000000000000001,0.25,13000.0,9.472704636443673,moder,primary_metal,us,mid
2.9444444,0.0,67,2006,1.0,1.0,0.1,0.010000000000000002,0.0,600.0,6.396929655216146,strong,electronic,us,mid
3.1666667,0.0,68,2006,0.85,0.7224999999999999,0.12,0.0144,0.0,3000.0,8.006367567650246,weak,instrument,us,young
3.1764705,0.0,70,2006,1.0,1.0,0.1,0.010000000000000002,0.0,6600.0,8.794824928014517,weak,food,us,old
2.8888888,0.0,71,2014,0.8,0.6400000000000001,0.09,0.0081,0.0,1000.0,6.907755278982137,moder,printing,us,unknown
3.2222223,0.0,72,2006,0.7,0.48999999999999994,0.1,0.010000000000000002,0.0,1400.0,7.24422751560335,strong,electronic,us,young
2.6111112,0.0,75,2006,1.0,1.0,0.75,0.5625,0.0,175.0,5.1647859739235145,moder,instrument,us,young
2.8888888,0.0,76,2006,0.75,0.5625,0.4,0.16000000000000003,0.0,540.0,6.29156913955832,strong,misc_manuf,us,mid
4.5,0.0,78,2010,1.0,1.0,0.05,0.0025000000000000005,0.3,4000.0,8.294049640102028,strong,instrument,us,mid
3.6111112,0.0,84,2006,1.0,1.0,0.05,0.0025000000000000005,0.0,750.0,6.620073206530356,strong,ind_machinery,us,young
2.7777777,0.0,88,2006,0.2,0.04000000000000001,0.05,0.0025000000000000005,0.0,130.0,4.867534450455582,strong,instrument,us,young
3.1111112,0.0,89,2006,0.75,0.5625,0.5,0.25,0.0,375.0,5.926926025970411,weak,electronic,us,young
3.2777777,0.0,90,2014,0.5,0.25,0.0,0.0,0.0,1000.0,6.907755278982137,strong,instrument,us,unknown
4.0,0.0,91,2006,1.0,1.0,0.2,0.04000000000000001,0.0,235.0,5.459585514144159,weak,electronic,us,young
3.2777777,0.0,92,2006,0.4,0.16000000000000003,0.1,0.010000000000000002,0.0,1000.0,6.907755278982137,moder,misc_manuf,us,young
2.3888888,0.0,95,2006,0.9,0.81,0.15,0.0225,0.0,300.0,5.703782474656201,moder,ind_machinery,us,old
2.3333333,0.0,96,2006,0.9,0.81,0.5,0.25,0.0,110.0,4.700480365792417,moder,ind_machinery,us,old
3.6111112,0.0,97,2010,0.02,0.0004,0.0,0.0,0.0,350.0,5.857933154483459,strong,transport,us,young
2.8,0.0,98,2006,0.1,0.010000000000000002,0.1,0.010000000000000002,0.0,450.0,6.1092475827643655,strong,fabricated_metal,us,old
3.1111112,0.0,99,2005,1.0,1.0,0.25,0.0625,0.0,250.0,5.521460917862246,strong,chemical,us,old
2.5555556,0.0,101,2006,0.0,0.0,0.0,0.0,0.0,3426.0,8.139148678884066,moder,glass,us,mid
3.3888888,0.0,104,2006,0.5,0.25,0.1,0.010000000000000002,0.0,2300.0,7.7406644019172415,strong,electronic,us,mid
3.2777777,0.0,105,2010,1.0,1.0,0.1,0.010000000000000002,0.7,3500.0,8.160518247477505,moder,ind_machinery,us,old
3.3333333,0.0,106,2006,0.5,0.25,0.2,0.04000000000000001,0.0,500.0,6.214608098422191,moder,ind_machinery,us,mid
3.6666667,0.0,109,2010,0.95,0.9025,0.1,0.010000000000000002,0.7,2600.0,7.8632667240095735,weak,transport,us,mid
2.7777777,0.0,110,2010,0.75,0.5625,0.05,0.0025000000000000005,0.02,1500.0,7.313220387090301,weak,electronic,us,young
3.5555556,0.0,116,2014,0.99,0.9801,0.01,0.0001,0.6,320.0,5.768320995793772,strong,fabricated_metal,us,unknown
4.1666665,1.0,117,2006,0.5,0.25,0.25,0.0625,0.0,860.0,6.756932389247553,moder,food,us,young
3.0,0.0,118,2014,0.1,0.010000000000000002,0.4,0.16000000000000003,0.7,5000.0,8.517193191416238,weak,chemical,us,unknown
3.6111112,0.0,119,2006,0.75,0.5625,0.02,0.0004,0.0,110.0,4.700480365792417,moder,electronic,us,mid
2.6666667,1.0,120,2006,0.25,0.0625,0.05,0.0025000000000000005,0.0,3500.0,8.160518247477505,moder,food,us,old
2.6666667,0.0,121,2006,0.5,0.25,0.0,0.0,0.0,4100.0,8.318742252692399,weak,apparel,us,old
4.4444447,0.0,122,2014,0.83,0.6889,0.1,0.010000000000000002,0.1,175.0,5.1647859739235145,weak,fabricated_metal,us,unknown
3.6666667,0.0,123,2014,1.0,1.0,0.36,0.1296,0.1,2000.0,7.600902459542082,strong,ind_machinery,us,unknown
3.3333333,0.0,124,2006,0.65,0.42250000000000004,0.4,0.16000000000000003,0.0,800.0,6.684611727667927,strong,instrument,us,young
3.6111112,0.0,125,2010,1.0,1.0,0.1,0.010000000000000002,0.05,110.0,4.700480365792417,weak,lumber,us,old
